ID,Name,Tactics
T1598.003,Spearphishing Link,Reconnaissance
T1021.004,SSH,Lateral-Movement
T1098.003,Additional Cloud Roles,"Persistence, Privilege-Escalation"
T1547.012,Print Processors,"Persistence, Privilege-Escalation"
T1566.001,Spearphishing Attachment,Initial-Access
T1027.008,Stripped Payloads,Defense-Evasion
T1559.001,Component Object Model,Execution
T1574.001,DLL,"Defense-Evasion, Persistence, Privilege-Escalation"
T1119,Automated Collection,Collection
T1115,Clipboard Data,Collection
T1003.007,Proc Filesystem,Credential-Access
T1583.005,Botnet,Resource-Development
T1555.005,Password Managers,Credential-Access
T1553.001,Gatekeeper Bypass,Defense-Evasion
T1675,ESXi Administration Command,Execution
T1608.004,Drive-by Target,Resource-Development
T1007,System Service Discovery,Discovery
T1040,Network Sniffing,"Credential-Access, Discovery"
T1553.002,Code Signing,Defense-Evasion
T1530,Data from Cloud Storage,Collection
T1565.003,Runtime Data Manipulation,Impact
T1552.002,Credentials in Registry,Credential-Access
T1135,Network Share Discovery,Discovery
T1120,Peripheral Device Discovery,Discovery
T1036.009,Break Process Trees,Defense-Evasion
T1590.004,Network Topology,Reconnaissance
T1587.002,Code Signing Certificates,Resource-Development
T1222.001,Windows File and Directory Permissions Modification,Defense-Evasion
T1137.006,Add-ins,Persistence
T1505.002,Transport Agent,Persistence
T1082,System Information Discovery,Discovery
T1071,Application Layer Protocol,Command-And-Control
T1574.014,AppDomainManager,"Defense-Evasion, Persistence, Privilege-Escalation"
T1074.002,Remote Data Staging,Collection
T1098.006,Additional Container Cluster Roles,"Persistence, Privilege-Escalation"
T1053,Scheduled Task/Job,"Execution, Persistence, Privilege-Escalation"
T1218.007,Msiexec,Defense-Evasion
T1590.003,Network Trust Dependencies,Reconnaissance
T1498.002,Reflection Amplification,Impact
T1556.002,Password Filter DLL,"Credential-Access, Defense-Evasion, Persistence"
T1505.005,Terminal Services DLL,Persistence
T1059.002,AppleScript,Execution
T1176,Software Extensions,Persistence
T1499.002,Service Exhaustion Flood,Impact
T1195.003,Compromise Hardware Supply Chain,Initial-Access
T1106,Native API,Execution
T1558.005,Ccache Files,Credential-Access
T1070.007,Clear Network Connection History and Configurations,Defense-Evasion
T1558.004,AS-REP Roasting,Credential-Access
T1584.003,Virtual Private Server,Resource-Development
T1059.010,AutoHotKey & AutoIT,Execution
T1600.001,Reduce Key Space,Defense-Evasion
T1070.003,Clear Command History,Defense-Evasion
T1202,Indirect Command Execution,Defense-Evasion
T1091,Replication Through Removable Media,"Initial-Access, Lateral-Movement"
T1005,Data from Local System,Collection
T1140,Deobfuscate/Decode Files or Information,Defense-Evasion
T1137.005,Outlook Rules,Persistence
T1562,Impair Defenses,Defense-Evasion
T1586.003,Cloud Accounts,Resource-Development
T1586.002,Email Accounts,Resource-Development
T1098.007,Additional Local or Domain Groups,"Persistence, Privilege-Escalation"
T1608.001,Upload Malware,Resource-Development
T1195,Supply Chain Compromise,Initial-Access
T1190,Exploit Public-Facing Application,Initial-Access
T1558,Steal or Forge Kerberos Tickets,Credential-Access
T1555,Credentials from Password Stores,Credential-Access
T1567,Exfiltration Over Web Service,Exfiltration
T1219,Remote Access Tools,Command-And-Control
T1583.001,Domains,Resource-Development
T1560.002,Archive via Library,Collection
T1055.003,Thread Execution Hijacking,"Defense-Evasion, Privilege-Escalation"
T1036,Masquerading,Defense-Evasion
T1546.011,Application Shimming,"Persistence, Privilege-Escalation"
T1552,Unsecured Credentials,Credential-Access
T1547.010,Port Monitors,"Persistence, Privilege-Escalation"
T1070.008,Clear Mailbox Data,Defense-Evasion
T1037.002,Login Hook,"Persistence, Privilege-Escalation"
T1659,Content Injection,"Command-And-Control, Initial-Access"
T1055,Process Injection,"Defense-Evasion, Privilege-Escalation"
T1567.004,Exfiltration Over Webhook,Exfiltration
T1205,Traffic Signaling,"Command-And-Control, Defense-Evasion, Persistence"
T1021.008,Direct Cloud VM Connections,Lateral-Movement
T1218,System Binary Proxy Execution,Defense-Evasion
T1153,Source,Execution
T1070.006,Timestomp,Defense-Evasion
T1557.004,Evil Twin,"Collection, Credential-Access"
T1620,Reflective Code Loading,Defense-Evasion
T1016.002,Wi-Fi Discovery,Discovery
T1480.002,Mutual Exclusion,Defense-Evasion
T1564.011,Ignore Process Interrupts,Defense-Evasion
T1611,Escape to Host,Privilege-Escalation
T1547.009,Shortcut Modification,"Persistence, Privilege-Escalation"
T1010,Application Window Discovery,Discovery
T1569.003,Systemctl,Execution
T1087.003,Email Account,Discovery
T1062,Hypervisor,Persistence
T1497.003,Time Based Evasion,"Defense-Evasion, Discovery"
T1218.003,CMSTP,Defense-Evasion
T1563.001,SSH Hijacking,Lateral-Movement
T1562.002,Disable Windows Event Logging,Defense-Evasion
T1029,Scheduled Transfer,Exfiltration
T1021.002,SMB/Windows Admin Shares,Lateral-Movement
T1525,Implant Internal Image,Persistence
T1572,Protocol Tunneling,Command-And-Control
T1218.002,Control Panel,Defense-Evasion
T1599.001,Network Address Translation Traversal,Defense-Evasion
T1608.002,Upload Tool,Resource-Development
T1547.005,Security Support Provider,"Persistence, Privilege-Escalation"
T1036.011,Overwrite Process Arguments,Defense-Evasion
T1550,Use Alternate Authentication Material,"Defense-Evasion, Lateral-Movement"
T1597.001,Threat Intel Vendors,Reconnaissance
T1011,Exfiltration Over Other Network Medium,Exfiltration
T1602.002,Network Device Configuration Dump,Collection
T1589,Gather Victim Identity Information,Reconnaissance
T1562.004,Disable or Modify System Firewall,Defense-Evasion
T1560,Archive Collected Data,Collection
T1553.003,SIP and Trust Provider Hijacking,Defense-Evasion
T1185,Browser Session Hijacking,Collection
T1021,Remote Services,Lateral-Movement
T1071.003,Mail Protocols,Command-And-Control
T1556.007,Hybrid Identity,"Credential-Access, Defense-Evasion, Persistence"
T1595.002,Vulnerability Scanning,Reconnaissance
T1059.009,Cloud API,Execution
T1596,Search Open Technical Databases,Reconnaissance
T1218.015,Electron Applications,Defense-Evasion
T1562.012,Disable or Modify Linux Audit System,Defense-Evasion
T1207,Rogue Domain Controller,Defense-Evasion
T1553.006,Code Signing Policy Modification,Defense-Evasion
T1610,Deploy Container,"Defense-Evasion, Execution"
T1112,Modify Registry,"Defense-Evasion, Persistence"
T1543.004,Launch Daemon,"Persistence, Privilege-Escalation"
T1580,Cloud Infrastructure Discovery,Discovery
T1555.003,Credentials from Web Browsers,Credential-Access
T1574.008,Path Interception by Search Order Hijacking,"Defense-Evasion, Persistence, Privilege-Escalation"
T1491,Defacement,Impact
T1535,Unused/Unsupported Cloud Regions,Defense-Evasion
T1557.003,DHCP Spoofing,"Collection, Credential-Access"
T1563,Remote Service Session Hijacking,Lateral-Movement
T1564.013,Bind Mounts,Defense-Evasion
T1027.001,Binary Padding,Defense-Evasion
T1505.003,Web Shell,Persistence
T1484.001,Group Policy Modification,"Defense-Evasion, Privilege-Escalation"
T1217,Browser Information Discovery,Discovery
T1552.004,Private Keys,Credential-Access
T1583.004,Server,Resource-Development
T1021.006,Windows Remote Management,Lateral-Movement
T1011.001,Exfiltration Over Bluetooth,Exfiltration
T1078.001,Default Accounts,"Defense-Evasion, Initial-Access, Persistence, Privilege-Escalation"
T1547.003,Time Providers,"Persistence, Privilege-Escalation"
T1546.005,Trap,"Persistence, Privilege-Escalation"
T1574.006,Dynamic Linker Hijacking,"Defense-Evasion, Persistence, Privilege-Escalation"
T1136.001,Local Account,Persistence
T1674,Input Injection,Execution
T1092,Communication Through Removable Media,Command-And-Control
T1070.001,Clear Windows Event Logs,Defense-Evasion
T1585.002,Email Accounts,Resource-Development
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,"Collection, Credential-Access"
T1222,File and Directory Permissions Modification,Defense-Evasion
T1003.001,LSASS Memory,Credential-Access
T1176.002,IDE Extensions,Persistence
T1595,Active Scanning,Reconnaissance
T1027.016,Junk Code Insertion,Defense-Evasion
T1548,Abuse Elevation Control Mechanism,"Defense-Evasion, Privilege-Escalation"
T1134.002,Create Process with Token,"Defense-Evasion, Privilege-Escalation"
T1548.001,Setuid and Setgid,"Defense-Evasion, Privilege-Escalation"
T1547.004,Winlogon Helper DLL,"Persistence, Privilege-Escalation"
T1021.003,Distributed Component Object Model,Lateral-Movement
T1110.003,Password Spraying,Credential-Access
T1090.002,External Proxy,Command-And-Control
T1056.003,Web Portal Capture,"Collection, Credential-Access"
T1589.002,Email Addresses,Reconnaissance
T1598.004,Spearphishing Voice,Reconnaissance
T1108,Redundant Access,"Defense-Evasion, Persistence"
T1003.005,Cached Domain Credentials,Credential-Access
T1098.004,SSH Authorized Keys,"Persistence, Privilege-Escalation"
T1673,Virtual Machine Discovery,Discovery
T1590.006,Network Security Appliances,Reconnaissance
T1546.012,Image File Execution Options Injection,"Persistence, Privilege-Escalation"
T1218.008,Odbcconf,Defense-Evasion
T1593.002,Search Engines,Reconnaissance
T1591.002,Business Relationships,Reconnaissance
T1548.005,Temporary Elevated Cloud Access,"Defense-Evasion, Privilege-Escalation"
T1125,Video Capture,Collection
T1055.013,Process Doppelgänging,"Defense-Evasion, Privilege-Escalation"
T1016,System Network Configuration Discovery,Discovery
T1578.003,Delete Cloud Instance,Defense-Evasion
T1593.003,Code Repositories,Reconnaissance
T1574.005,Executable Installer File Permissions Weakness,"Defense-Evasion, Persistence, Privilege-Escalation"
T1546.008,Accessibility Features,"Persistence, Privilege-Escalation"
T1496.002,Bandwidth Hijacking,Impact
T1087,Account Discovery,Discovery
T1090,Proxy,Command-And-Control
T1059,Command and Scripting Interpreter,Execution
T1562.006,Indicator Blocking,Defense-Evasion
T1136.002,Domain Account,Persistence
T1564.014,Extended Attributes,Defense-Evasion
T1589.003,Employee Names,Reconnaissance
T1482,Domain Trust Discovery,Discovery
T1558.001,Golden Ticket,Credential-Access
T1175,Component Object Model and Distributed COM,"Execution, Lateral-Movement"
T1020,Automated Exfiltration,Exfiltration
T1592.004,Client Configurations,Reconnaissance
T1562.007,Disable or Modify Cloud Firewall,Defense-Evasion
T1219.001,IDE Tunneling,Command-And-Control
T1036.002,Right-to-Left Override,Defense-Evasion
T1588.001,Malware,Resource-Development
T1027.017,SVG Smuggling,Defense-Evasion
T1542.002,Component Firmware,"Defense-Evasion, Persistence"
T1070,Indicator Removal,Defense-Evasion
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Exfiltration
T1137.001,Office Template Macros,Persistence
T1583.003,Virtual Private Server,Resource-Development
T1213.001,Confluence,Collection
T1550.003,Pass the Ticket,"Defense-Evasion, Lateral-Movement"
T1609,Container Administration Command,Execution
T1083,File and Directory Discovery,Discovery
T1568,Dynamic Resolution,Command-And-Control
T1036.004,Masquerade Task or Service,Defense-Evasion
T1055.004,Asynchronous Procedure Call,"Defense-Evasion, Privilege-Escalation"
T1020.001,Traffic Duplication,Exfiltration
T1647,Plist File Modification,Defense-Evasion
T1127.003,JamPlus,Defense-Evasion
T1546.009,AppCert DLLs,"Persistence, Privilege-Escalation"
T1114.003,Email Forwarding Rule,Collection
T1074,Data Staged,Collection
T1649,Steal or Forge Authentication Certificates,Credential-Access
T1098.005,Device Registration,"Persistence, Privilege-Escalation"
T1049,System Network Connections Discovery,Discovery
T1584,Compromise Infrastructure,Resource-Development
T1553.005,Mark-of-the-Web Bypass,Defense-Evasion
T1600.002,Disable Crypto Hardware,Defense-Evasion
T1542,Pre-OS Boot,"Defense-Evasion, Persistence"
T1064,Scripting,"Defense-Evasion, Execution"
T1612,Build Image on Host,Defense-Evasion
T1051,Shared Webroot,Lateral-Movement
T1055.002,Portable Executable Injection,"Defense-Evasion, Privilege-Escalation"
T1218.012,Verclsid,Defense-Evasion
T1586,Compromise Accounts,Resource-Development
T1569.001,Launchctl,Execution
T1584.005,Botnet,Resource-Development
T1059.008,Network Device CLI,Execution
T1552.003,Bash History,Credential-Access
T1562.010,Downgrade Attack,Defense-Evasion
T1559.003,XPC Services,Execution
T1497,Virtualization/Sandbox Evasion,"Defense-Evasion, Discovery"
T1102,Web Service,Command-And-Control
T1552.001,Credentials In Files,Credential-Access
T1568.003,DNS Calculation,Command-And-Control
T1218.005,Mshta,Defense-Evasion
T1547.015,Login Items,"Persistence, Privilege-Escalation"
T1608,Stage Capabilities,Resource-Development
T1608.005,Link Target,Resource-Development
T1104,Multi-Stage Channels,Command-And-Control
T1657,Financial Theft,Impact
T1480,Execution Guardrails,Defense-Evasion
T1619,Cloud Storage Object Discovery,Discovery
T1606.001,Web Cookies,Credential-Access
T1654,Log Enumeration,Discovery
T1134.001,Token Impersonation/Theft,"Defense-Evasion, Privilege-Escalation"
T1567.001,Exfiltration to Code Repository,Exfiltration
T1021.007,Cloud Services,Lateral-Movement
T1205.001,Port Knocking,"Command-And-Control, Defense-Evasion, Persistence"
T1027.012,LNK Icon Smuggling,Defense-Evasion
T1583.006,Web Services,Resource-Development
T1528,Steal Application Access Token,Credential-Access
T1598.002,Spearphishing Attachment,Reconnaissance
T1098.001,Additional Cloud Credentials,"Persistence, Privilege-Escalation"
T1204,User Execution,Execution
T1491.001,Internal Defacement,Impact
T1564.002,Hidden Users,Defense-Evasion
T1134.003,Make and Impersonate Token,"Defense-Evasion, Privilege-Escalation"
T1552.006,Group Policy Preferences,Credential-Access
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Exfiltration
T1087.004,Cloud Account,Discovery
T1057,Process Discovery,Discovery
T1562.003,Impair Command History Logging,Defense-Evasion
T1053.004,Launchd,"Execution, Persistence, Privilege-Escalation"
T1556.008,Network Provider DLL,"Credential-Access, Defense-Evasion, Persistence"
T1546.003,Windows Management Instrumentation Event Subscription,"Persistence, Privilege-Escalation"
T1596.004,CDNs,Reconnaissance
T1497.002,User Activity Based Checks,"Defense-Evasion, Discovery"
T1496.004,Cloud Service Hijacking,Impact
T1585.003,Cloud Accounts,Resource-Development
T1072,Software Deployment Tools,"Execution, Lateral-Movement"
T1041,Exfiltration Over C2 Channel,Exfiltration
T1134.004,Parent PID Spoofing,"Defense-Evasion, Privilege-Escalation"
T1591,Gather Victim Org Information,Reconnaissance
T1606,Forge Web Credentials,Credential-Access
T1621,Multi-Factor Authentication Request Generation,Credential-Access
T1554,Compromise Host Software Binary,Persistence
T1552.008,Chat Messages,Credential-Access
T1059.001,PowerShell,Execution
T1546.001,Change Default File Association,"Persistence, Privilege-Escalation"
T1055.014,VDSO Hijacking,"Defense-Evasion, Privilege-Escalation"
T1026,Multiband Communication,Command-And-Control
T1071.002,File Transfer Protocols,Command-And-Control
T1212,Exploitation for Credential Access,Credential-Access
T1546.014,Emond,"Persistence, Privilege-Escalation"
T1102.003,One-Way Communication,Command-And-Control
T1590,Gather Victim Network Information,Reconnaissance
T1210,Exploitation of Remote Services,Lateral-Movement
T1534,Internal Spearphishing,Lateral-Movement
T1574.010,Services File Permissions Weakness,"Defense-Evasion, Persistence, Privilege-Escalation"
T1547.001,Registry Run Keys / Startup Folder,"Persistence, Privilege-Escalation"
T1199,Trusted Relationship,Initial-Access
T1136.003,Cloud Account,Persistence
T1069.001,Local Groups,Discovery
T1149,LC_MAIN Hijacking,Defense-Evasion
T1593,Search Open Websites/Domains,Reconnaissance
T1098,Account Manipulation,"Persistence, Privilege-Escalation"
T1048,Exfiltration Over Alternative Protocol,Exfiltration
T1547.006,Kernel Modules and Extensions,"Persistence, Privilege-Escalation"
T1056.002,GUI Input Capture,"Collection, Credential-Access"
T1588.002,Tool,Resource-Development
T1052.001,Exfiltration over USB,Exfiltration
T1574.013,KernelCallbackTable,"Defense-Evasion, Persistence, Privilege-Escalation"
T1597,Search Closed Sources,Reconnaissance
T1053.006,Systemd Timers,"Execution, Persistence, Privilege-Escalation"
T1566,Phishing,Initial-Access
T1061,Graphical User Interface,Execution
T1542.004,ROMMONkit,"Defense-Evasion, Persistence"
T1218.001,Compiled HTML File,Defense-Evasion
T1496.001,Compute Hijacking,Impact
T1070.005,Network Share Connection Removal,Defense-Evasion
T1090.003,Multi-hop Proxy,Command-And-Control
T1110,Brute Force,Credential-Access
T1059.004,Unix Shell,Execution
T1137.003,Outlook Forms,Persistence
T1219.003,Remote Access Hardware,Command-And-Control
T1562.001,Disable or Modify Tools,Defense-Evasion
T1565,Data Manipulation,Impact
T1559,Inter-Process Communication,Execution
T1001,Data Obfuscation,Command-And-Control
T1039,Data from Network Shared Drive,Collection
T1584.006,Web Services,Resource-Development
T1601,Modify System Image,Defense-Evasion
T1574,Hijack Execution Flow,"Defense-Evasion, Persistence, Privilege-Escalation"
T1059.011,Lua,Execution
T1027.005,Indicator Removal from Tools,Defense-Evasion
T1204.003,Malicious Image,Execution
T1543.005,Container Service,"Persistence, Privilege-Escalation"
T1078,Valid Accounts,"Defense-Evasion, Initial-Access, Persistence, Privilege-Escalation"
T1571,Non-Standard Port,Command-And-Control
T1585.001,Social Media Accounts,Resource-Development
T1055.012,Process Hollowing,"Defense-Evasion, Privilege-Escalation"
T1068,Exploitation for Privilege Escalation,Privilege-Escalation
T1564.009,Resource Forking,Defense-Evasion
T1531,Account Access Removal,Impact
T1110.004,Credential Stuffing,Credential-Access
T1027,Obfuscated Files or Information,Defense-Evasion
T1556.006,Multi-Factor Authentication,"Credential-Access, Defense-Evasion, Persistence"
T1114.002,Remote Email Collection,Collection
T1505.004,IIS Components,Persistence
T1036.001,Invalid Code Signature,Defense-Evasion
T1564.006,Run Virtual Instance,Defense-Evasion
T1027.014,Polymorphic Code,Defense-Evasion
T1201,Password Policy Discovery,Discovery
T1546,Event Triggered Execution,"Persistence, Privilege-Escalation"
T1546.004,Unix Shell Configuration Modification,"Persistence, Privilege-Escalation"
T1187,Forced Authentication,Credential-Access
T1134.005,SID-History Injection,"Defense-Evasion, Privilege-Escalation"
T1599,Network Boundary Bridging,Defense-Evasion
T1486,Data Encrypted for Impact,Impact
T1553,Subvert Trust Controls,Defense-Evasion
T1548.004,Elevated Execution with Prompt,"Defense-Evasion, Privilege-Escalation"
T1592.003,Firmware,Reconnaissance
T1573,Encrypted Channel,Command-And-Control
T1547.002,Authentication Package,"Persistence, Privilege-Escalation"
T1218.010,Regsvr32,Defense-Evasion
T1567.003,Exfiltration to Text Storage Sites,Exfiltration
T1592.002,Software,Reconnaissance
T1056,Input Capture,"Collection, Credential-Access"
T1566.004,Spearphishing Voice,Initial-Access
T1587.004,Exploits,Resource-Development
T1593.001,Social Media,Reconnaissance
T1213.004,Customer Relationship Management Software,Collection
T1546.015,Component Object Model Hijacking,"Persistence, Privilege-Escalation"
T1589.001,Credentials,Reconnaissance
T1195.002,Compromise Software Supply Chain,Initial-Access
T1036.003,Rename Legitimate Utilities,Defense-Evasion
T1102.002,Bidirectional Communication,Command-And-Control
T1203,Exploitation for Client Execution,Execution
T1595.003,Wordlist Scanning,Reconnaissance
T1667,Email Bombing,Impact
T1562.011,Spoof Security Alerting,Defense-Evasion
T1137.004,Outlook Home Page,Persistence
T1573.002,Asymmetric Cryptography,Command-And-Control
T1567.002,Exfiltration to Cloud Storage,Exfiltration
T1570,Lateral Tool Transfer,Lateral-Movement
T1574.009,Path Interception by Unquoted Path,"Defense-Evasion, Persistence, Privilege-Escalation"
T1608.003,Install Digital Certificate,Resource-Development
T1037.005,Startup Items,"Persistence, Privilege-Escalation"
T1614.001,System Language Discovery,Discovery
T1095,Non-Application Layer Protocol,Command-And-Control
T1027.003,Steganography,Defense-Evasion
T1584.002,DNS Server,Resource-Development
T1671,Cloud Application Integration,Persistence
T1001.003,Protocol or Service Impersonation,Command-And-Control
T1012,Query Registry,Discovery
T1030,Data Transfer Size Limits,Exfiltration
T1550.004,Web Session Cookie,"Defense-Evasion, Lateral-Movement"
T1078.002,Domain Accounts,"Defense-Evasion, Initial-Access, Persistence, Privilege-Escalation"
T1218.009,Regsvcs/Regasm,Defense-Evasion
T1034,Path Interception,"Persistence, Privilege-Escalation"
T1553.004,Install Root Certificate,Defense-Evasion
T1037.003,Network Logon Script,"Persistence, Privilege-Escalation"
T1499,Endpoint Denial of Service,Impact
T1027.004,Compile After Delivery,Defense-Evasion
T1614,System Location Discovery,Discovery
T1564.007,VBA Stomping,Defense-Evasion
T1197,BITS Jobs,"Defense-Evasion, Persistence"
T1127.001,MSBuild,Defense-Evasion
T1656,Impersonation,Defense-Evasion
T1578.005,Modify Cloud Compute Configurations,Defense-Evasion
T1090.004,Domain Fronting,Command-And-Control
T1557.002,ARP Cache Poisoning,"Collection, Credential-Access"
T1562.008,Disable or Modify Cloud Logs,Defense-Evasion
T1518.001,Security Software Discovery,Discovery
T1564.003,Hidden Window,Defense-Evasion
T1127.002,ClickOnce,Defense-Evasion
T1059.006,Python,Execution
T1070.010,Relocate Malware,Defense-Evasion
T1591.004,Identify Roles,Reconnaissance
T1132,Data Encoding,Command-And-Control
T1546.010,AppInit DLLs,"Persistence, Privilege-Escalation"
T1598,Phishing for Information,Reconnaissance
T1496,Resource Hijacking,Impact
T1585,Establish Accounts,Resource-Development
T1588,Obtain Capabilities,Resource-Development
T1546.002,Screensaver,"Persistence, Privilege-Escalation"
T1556.009,Conditional Access Policies,"Credential-Access, Defense-Evasion, Persistence"
T1578.002,Create Cloud Instance,Defense-Evasion
T1555.006,Cloud Secrets Management Stores,Credential-Access
T1213.003,Code Repositories,Collection
T1565.002,Transmitted Data Manipulation,Impact
T1003.008,/etc/passwd and /etc/shadow,Credential-Access
T1543.001,Launch Agent,"Persistence, Privilege-Escalation"
T1569,System Services,Execution
T1059.003,Windows Command Shell,Execution
T1055.009,Proc Memory,"Defense-Evasion, Privilege-Escalation"
T1650,Acquire Access,Resource-Development
T1601.001,Patch System Image,Defense-Evasion
T1558.002,Silver Ticket,Credential-Access
T1213,Data from Information Repositories,Collection
T1070.009,Clear Persistence,Defense-Evasion
T1059.012,Hypervisor CLI,Execution
T1555.004,Windows Credential Manager,Credential-Access
